Series Name,Series Code,Country Name,Country Code,2014 [YR2014]
GDP (current US$),NY.GDP.MKTP.CD,Haiti,HTI,8776370457.02069
GDP (current US$),NY.GDP.MKTP.CD,Honduras,HND,19380958759.0497
GDP (current US$),NY.GDP.MKTP.CD,"Hong Kong SAR, China",HKG,291229801008.499
GDP (current US$),NY.GDP.MKTP.CD,Hungary,HUN,138346650088.972
GDP (current US$),NY.GDP.MKTP.CD,Iceland,ISL,17036097481.8066
GDP (current US$),NY.GDP.MKTP.CD,India,IND,2042438591343.98
GDP (current US$),NY.GDP.MKTP.CD,Indonesia,IDN,890487074595.966
GDP (current US$),NY.GDP.MKTP.CD,"Iran, Islamic Rep.",IRN,425326068422.881
GDP (current US$),NY.GDP.MKTP.CD,Iraq,IRQ,223508094682.676
GDP (current US$),NY.GDP.MKTP.CD,Ireland,IRL,250813607686.108
